,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
40,DISABLE_KEYGUARD,0.8428770949720671,,,,,,,,,,,,,,,,,,,,
41,INSTALL_PACKAGES,0.8442737430167597,,,,,,,,,,,,,,,,,,,,
42,MOUNT_UNMOUNT_FILESYSTEMS,0.8477653631284916,,,,,,,,,,,,,,,,,,,,
43,GET_TASKS,0.8554469273743017,,,,,,,,,,,,,,,,,,,,
44,WRITE_CONTACTS,0.8638268156424581,,,,,,,,,,,,,,,,,,,,
45,WRITE_APN_SETTINGS,0.8652234636871509,,,,,,,,,,,,,,,,,,,,
46,READ_CONTACTS,0.8729050279329609,,,,,,,,,,,,,,,,,,,,
47,CHANGE_WIFI_STATE,0.8812849162011173,,,,,,,,,,,,,,,,,,,,
48,WRITE_SMS,0.901536312849162,,,,,,,,,,,,,,,,,,,,
49,SEND_SMS,0.9050279329608939,,,,,,,,,,,,,,,,,,,,
50,READ_SMS,0.9085195530726257,,,,,,,,,,,,,,,,,,,,
51,READ_PHONE_STATE,0.9134078212290503,,,,,,,,,,,,,,,,,,,,
